Detail,Player,Season,Team,AVG,G,AB,R,H,2B,3B,HR,RBI,TB,BB,IBB,HP,SO,SF,SH,SB,CS,OBP,SLG,OPS,E
*,"Spataro, Ryan",PLAYOFFS 2018,Barrie,.179,12,56,9,10,1,1,1,8,16,5,0,0,4,0,0,1,2,.246,.286,.532,0
-,"Ssemanda, Michael",PLAYOFFS 2018,Hamilton,.133,4,15,0,2,0,0,0,1,2,0,0,0,5,0,1,0,0,.133,.133,.267,2
*,"Szpik, Daniel",PLAYOFFS 2018,Toronto,.167,3,6,0,1,0,0,0,0,1,4,0,0,2,0,0,0,0,.500,.167,.667,0
-,"Vanderby, David",PLAYOFFS 2018,Hamilton,.273,3,11,1,3,0,0,0,0,3,0,0,0,3,0,0,0,0,.273,.273,.545,1
-,"Villalona, Angel",PLAYOFFS 2018,Guelph,.400,5,20,4,8,1,0,2,5,15,3,1,0,3,0,0,0,0,.478,.750,1.228,3
-,"Walker, Parker",PLAYOFFS 2018,Barrie,.000,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.000,.000,1.000,0
*,"Waltenbury, Jon",PLAYOFFS 2018,Guelph,.150,5,20,2,3,1,0,0,2,4,3,0,0,8,0,0,0,0,.261,.200,.461,2
-,"Ambrose, Michael",SUMMER 2018,London,.279,36,111,24,31,7,0,2,26,44,19,1,23,20,1,2,4,3,.474,.396,.870,1
-,"Andrulis, Mike",SUMMER 2018,Kitchener,.278,21,79,12,22,3,0,1,18,28,8,0,1,9,2,1,1,0,.344,.354,.699,3
*,"Arnold, Grant",SUMMER 2018,Hamilton,.348,34,141,14,49,3,3,2,25,64,10,0,6,19,1,2,4,4,.411,.454,.865,13
-,"Arteaga, Carlos",SUMMER 2018,London,.210,16,62,6,13,3,0,0,6,16,6,0,0,11,0,0,2,0,.279,.258,.537,2
-,"Asbury-Heath, DeAndr",SUMMER 2018,Brantford,.344,17,64,18,22,1,0,8,13,47,9,0,3,25,0,1,2,2,.447,.734,1.182,1
-,"Atkinson, Kevin",SUMMER 2018,Barrie,.352,31,125,34,44,10,0,10,45,84,18,0,5,17,0,0,1,0,.453,.672,1.125,7
*,"Baker, Luke",SUMMER 2018,Kitchener,.000,1,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,.000,.000,.000,0
*,"Barlas, Darius",SUMMER 2018,Guelph,.293,26,92,17,27,0,0,0,4,27,7,0,4,6,0,1,0,1,.369,.293,.662,6
-,"Beer, Chris",SUMMER 2018,Hamilton,.296,34,142,23,42,10,0,2,19,58,12,0,11,32,0,0,7,0,.394,.408,.802,11
*,"Blackwell, Kyle",SUMMER 2018,Hamilton,.308,3,13,1,4,0,0,0,2,4,0,0,0,4,0,0,0,0,.308,.308,.615,0
-,"Boatto, Chris",SUMMER 2018,Burlington,.000,1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,.000,.000,.000,0
-,"Borroto, Yorbis",SUMMER 2018,Kitchener,.282,32,124,20,35,8,0,1,18,46,31,2,3,15,2,1,3,3,.431,.371,.802,3
-,"Bouillere-Howard, Ca",SUMMER 2018,Burlington,.000,3,11,1,0,0,0,0,0,0,1,0,0,6,0,0,0,0,.083,.000,.083,0
-,"Bowie, Connor",SUMMER 2018,Hamilton,.315,22,89,13,28,4,0,2,8,38,9,0,3,22,0,0,7,1,.396,.427,.823,0
-,"Braun, Ben",SUMMER 2018,Burlington,.500,3,6,2,3,0,0,0,0,3,0,0,0,1,0,0,0,0,.500,.500,1.000,0
-,"Britt, Evan",SUMMER 2018,London,.309,28,81,15,25,7,0,0,15,32,10,0,0,24,0,0,2,0,.385,.395,.780,3
-,"Brophy, Joel",SUMMER 2018,Hamilton,.132,10,38,3,5,0,1,2,6,13,4,0,1,21,0,0,0,0,.233,.342,.575,1
-,"Brownlee, Cleveland",SUMMER 2018,London,.324,36,145,23,47,7,0,12,46,90,12,2,5,30,1,0,3,0,.393,.621,1.013,0
#,"Bryan, Vaughn",SUMMER 2018,Burlington,.333,30,108,25,36,9,4,3,15,62,21,1,1,37,2,0,12,4,.439,.574,1.013,2
-,"Buntrock, Tristan",SUMMER 2018,London,.167,21,24,9,4,0,0,0,3,4,5,0,0,10,0,1,1,0,.310,.167,.477,0
-,"Burdett, Nic",SUMMER 2018,Brantford,.243,36,136,19,33,6,1,3,21,50,13,0,6,36,3,0,2,1,.329,.368,.697,8
-,"Burnell, Nicholas",SUMMER 2018,Brantford,.261,19,46,4,12,1,0,0,5,13,3,0,2,16,0,1,0,0,.333,.283,.616,5
*,"Burns, Carson",SUMMER 2018,Barrie,.253,19,75,13,19,1,0,1,9,23,4,0,0,9,2,1,2,0,.284,.307,.591,4
-,"Burton, Brian",SUMMER 2018,Kitchener,.307,34,140,33,43,9,0,8,28,76,11,0,1,32,0,0,1,0,.362,.543,.905,3
#,"Cant, Robbie",SUMMER 2018,Burlington,.204,27,98,7,20,3,0,0,5,23,7,0,0,24,2,0,0,0,.252,.235,.487,4
-,"Carrington, Greg",SUMMER 2018,Toronto,.277,20,65,14,18,5,0,0,9,23,6,0,2,10,0,1,6,1,.356,.354,.710,1
-,"Casburn, Matt",SUMMER 2018,Hamilton,.113,15,53,4,6,2,0,0,4,8,7,0,1,19,0,0,0,0,.230,.151,.380,2
-,"Castaldo, Jordan",SUMMER 2018,Barrie,.403,31,119,40,48,14,1,9,38,91,28,0,1,21,4,0,1,0,.507,.765,1.271,6
-,"Cecchetto, Mike",SUMMER 2018,Toronto,.091,4,11,2,1,1,0,0,0,2,1,0,1,3,0,0,0,0,.231,.182,.413,0
-,"Chessell, Eddie",SUMMER 2018,Burlington,.228,16,57,3,13,1,0,0,4,14,9,0,0,16,1,1,1,0,.328,.246,.574,1
-,"Chiaravalle, Jake",SUMMER 2018,Hamilton,.278,22,79,8,22,3,1,2,9,33,6,0,1,21,0,0,1,0,.337,.418,.755,0
-,"Cicatello, Justin",SUMMER 2018,Toronto,.000,1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,.000,.000,.000,1
-,"Cina, Zarley",SUMMER 2018,Kitchener,.163,14,43,5,7,1,0,0,1,8,3,0,5,6,0,0,1,0,.294,.186,.480,0
-,"Connerty, Dan",SUMMER 2018,Hamilton,.000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
*,"Corrente, Rich",SUMMER 2018,Burlington,.000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
-,"Cowan, Jeff",SUMMER 2018,Barrie,.324,27,108,16,35,3,0,0,11,38,17,1,1,11,1,1,2,0,.417,.352,.769,1
-,"DeGrace, Kyle",SUMMER 2018,Barrie,.287,31,122,24,35,8,0,1,14,46,11,0,7,15,1,2,1,1,.376,.377,.753,2
-,"DeSouza, Nate",SUMMER 2018,Brantford,.246,16,57,8,14,0,0,4,9,26,9,0,0,15,1,1,4,1,.343,.456,.799,0
-,"Dhue, Brandon",SUMMER 2018,Barrie,.362,19,58,12,21,4,0,3,22,34,8,0,0,18,1,0,0,0,.433,.586,1.019,2
-,"Douse, Ryan",SUMMER 2018,Kitchener,.156,16,45,4,7,0,0,1,4,10,6,0,1,23,0,0,0,1,.269,.222,.491,1
*,"Doyle, Robert",SUMMER 2018,London,.268,16,41,6,11,1,1,0,2,14,3,0,0,11,1,1,1,2,.311,.341,.653,0
*,"Dziomba, Jon",SUMMER 2018,Hamilton,.325,18,77,15,25,2,1,1,11,32,3,1,1,13,0,0,8,0,.358,.416,.774,5
-,"Ejoh, Canice",SUMMER 2018,Burlington,.231,17,65,9,15,0,1,1,7,20,8,0,1,19,0,0,9,3,.324,.308,.632,1
-,"Ferrington, Braeden",SUMMER 2018,London,.000,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,0
*,"Foden, Jake",SUMMER 2018,Hamilton,.322,29,121,26,39,11,1,2,15,58,15,0,2,25,1,0,1,2,.403,.479,.882,1
-,"Forman, Wayne",SUMMER 2018,Brantford,.150,7,20,3,3,0,0,0,0,3,1,0,0,4,0,0,0,0,.190,.150,.340,0
-,"Freeman, Josh",SUMMER 2018,Hamilton,.111,3,9,1,1,0,0,0,0,1,0,0,2,4,0,1,0,0,.273,.111,.384,4
-,"Fuhr, RJ",SUMMER 2018,London,.346,33,130,31,45,4,1,0,14,51,21,0,7,15,0,2,17,9,.462,.392,.854,4
*,"Garton, Josh",SUMMER 2018,Guelph,.346,25,104,20,36,7,0,4,17,55,10,0,0,25,1,0,2,2,.400,.529,.929,0
*,"Gideon, Justin",SUMMER 2018,Burlington,.333,36,147,34,49,11,2,8,28,88,22,2,2,15,0,1,16,3,.427,.599,1.026,4
*,"Glinka, Mike",SUMMER 2018,Kitchener,.231,30,117,15,27,4,1,1,16,36,9,0,2,9,1,3,1,1,.295,.308,.602,8
-,"Gonzalez, Zackary",SUMMER 2018,Hamilton,.400,8,25,5,10,1,0,0,3,11,1,0,0,1,1,1,1,0,.407,.440,.847,1
*,"Gordner, Colin",SUMMER 2018,Kitchener,.284,28,116,15,33,6,0,2,6,45,7,1,2,18,0,2,1,0,.336,.388,.724,7
*,"Gordner, Mike",SUMMER 2018,Kitchener,.343,34,140,26,48,11,0,2,22,65,5,0,1,14,2,0,0,0,.365,.464,.829,4
*,"Gormandy, Kyle",SUMMER 2018,London,.207,28,92,9,19,1,0,0,6,20,10,0,2,17,0,0,1,0,.298,.217,.515,3
-,"Guerrero, Emilis",SUMMER 2018,Barrie,.000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,1
-,"Hahnfeld, Kenny",SUMMER 2018,Burlington,.300,5,20,2,6,1,0,0,1,7,2,0,0,3,0,0,1,0,.364,.350,.714,1
-,"Hexter, Matt",SUMMER 2018,London,.223,29,94,12,21,2,1,0,13,25,11,0,0,19,0,0,3,2,.305,.266,.571,6
*,"Hicks, Liam",SUMMER 2018,Guelph,.259,18,58,6,15,3,0,0,4,18,9,0,0,12,0,0,0,0,.358,.310,.669,3
-,"Hirani, Shanif",SUMMER 2018,Kitchener,.400,1,5,2,2,0,0,0,0,2,0,0,0,1,0,0,0,1,.400,.400,.800,0
-,"Horne, Kurt",SUMMER 2018,Brantford,.000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
-,"Hornostaj, Aaron",SUMMER 2018,Toronto,.127,17,71,12,9,0,0,0,2,9,14,0,0,15,1,0,2,0,.267,.127,.394,4
-,"Iltshishin, Chris",SUMMER 2018,Kitchener,.238,10,21,3,5,0,0,1,2,8,1,0,0,5,0,2,1,0,.273,.381,.654,2
-,"Infante, Branfy",SUMMER 2018,Barrie,.306,29,98,25,30,6,2,1,13,43,18,1,9,20,0,0,7,2,.456,.439,.895,7
-,"Inkol, Jordan",SUMMER 2018,Guelph,.000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
*,"Interisano, Justin",SUMMER 2018,Guelph,.246,33,122,12,30,3,0,7,24,54,17,2,1,26,2,0,1,0,.338,.443,.781,7
*,"Jackson, Glenn",SUMMER 2018,Barrie,.327,30,101,23,33,8,1,3,30,52,20,0,1,16,1,2,9,2,.439,.515,.954,3
*,"Jagdeo, Daniel",SUMMER 2018,Brantford,.338,19,71,11,24,2,0,3,11,35,11,0,0,24,0,0,0,0,.427,.493,.920,1
-,"Johnson, Zach",SUMMER 2018,Kitchener,.292,17,65,13,19,4,0,2,8,29,5,1,3,23,0,0,0,0,.370,.446,.816,0
-,"Kandel, Keith",SUMMER 2018,London,.252,34,131,24,33,8,1,0,17,43,21,0,3,31,3,0,12,6,.361,.328,.689,10
-,"Kauer, Blake",SUMMER 2018,Brantford,.220,32,91,12,20,6,0,0,9,26,12,0,1,29,0,1,1,0,.317,.286,.603,1
*,"Keys, Brendan",SUMMER 2018,Guelph,.263,33,118,16,31,4,0,0,15,35,16,0,1,16,1,2,2,0,.353,.297,.650,7
-,"Knecht, Marcus",SUMMER 2018,Toronto,.231,28,108,22,25,5,0,5,18,45,21,0,4,26,3,0,8,0,.368,.417,.784,1
*,"Kovacs, Marshall",SUMMER 2018,Burlington,.000,3,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,.500,.000,.500,0
-,"Koziol, Dennon",SUMMER 2018,Brantford,.195,13,41,7,8,2,0,0,2,10,8,0,0,5,0,0,1,0,.327,.244,.570,1
-,"Lakhani, Arman",SUMMER 2018,Hamilton,.000,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,.000,.000,.000,0
-,"Lamb, Cooper",SUMMER 2018,Burlington,.250,7,20,1,5,1,0,0,1,6,0,0,1,8,0,0,0,0,.286,.300,.586,1
*,"Lambert, R.J.",SUMMER 2018,Guelph,.000,5,8,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,.000,.000,.000,1
-,"Lazar, Chris",SUMMER 2018,Hamilton,.000,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,.000,.000,.000,2
-,"Leader, Andy",SUMMER 2018,Kitchener,.195,30,113,15,22,6,0,2,12,34,9,1,3,30,0,2,5,1,.272,.301,.573,2
-,"Lech, Sebastian",SUMMER 2018,Brantford,.208,25,77,3,16,1,0,0,4,17,2,0,2,34,0,1,1,1,.247,.221,.468,0
-,"Lewis, Connor",SUMMER 2018,Toronto,.279,22,86,14,24,2,1,1,10,31,7,0,0,22,1,0,4,1,.330,.360,.690,2
-,"Lewis, Steve",SUMMER 2018,Barrie,.268,17,56,11,15,6,0,2,6,27,9,0,0,13,0,0,0,0,.369,.482,.851,0
-,"Lofgren, Troy",SUMMER 2018,London,.143,4,7,2,1,0,1,0,2,3,0,0,0,1,0,0,0,0,.143,.429,.571,0
-,"Lunsford, Trent",SUMMER 2018,Burlington,.000,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,.000,.000,.000,2
*,"MacLeod, Jeff",SUMMER 2018,Guelph,.196,29,112,8,22,5,0,1,7,30,4,0,5,19,2,0,1,2,.252,.268,.520,2
-,"Malyk, Ryan",SUMMER 2018,Guelph,.000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
-,"Mansfield, Jacob",SUMMER 2018,London,.400,8,15,5,6,2,0,0,3,8,2,0,0,4,0,0,0,0,.471,.533,1.004,0
-,"Marco, Greg",SUMMER 2018,Hamilton,.219,21,73,5,16,1,0,0,1,17,4,0,2,23,0,0,2,1,.278,.233,.511,6
-,"Marra, Adam",SUMMER 2018,Toronto,.000,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.000,.000,1.000,1
-,"Marra, Dan",SUMMER 2018,Toronto,.364,23,77,14,28,3,0,0,10,31,20,0,1,10,1,1,9,1,.495,.403,.898,8
-,"Marra, Justin",SUMMER 2018,Toronto,.353,28,116,34,41,9,0,10,31,80,21,1,1,22,1,0,2,1,.453,.690,1.143,9
*,"Marsden, Keegan",SUMMER 2018,Kitchener,.288,33,132,24,38,10,1,5,33,65,16,3,3,30,1,0,4,0,.375,.492,.867,2
-,"Martins, Jacob",SUMMER 2018,Hamilton,.284,18,74,9,21,4,0,0,7,25,7,1,0,15,0,0,1,0,.346,.338,.684,4
*,"Mastervick, Nate",SUMMER 2018,Hamilton,.200,3,10,2,2,0,0,0,0,2,1,0,0,1,0,0,2,0,.273,.200,.473,0
-,"McCue, Matt",SUMMER 2018,Burlington,.268,12,41,1,11,0,0,1,6,14,5,0,1,11,1,0,0,0,.354,.341,.696,1
-,"McGovern, Matt",SUMMER 2018,Brantford,.278,7,18,3,5,0,0,0,1,5,1,0,2,4,0,0,1,1,.381,.278,.659,1
-,"McQueen, Chris",SUMMER 2018,London,.339,33,124,32,42,2,1,0,10,46,21,0,0,21,0,1,15,3,.434,.371,.805,5
-,"Mendham, David",SUMMER 2018,Brantford,.309,36,136,20,42,6,1,3,17,59,21,0,1,27,1,1,6,2,.403,.434,.836,13
*,"Mercier, Andrew",SUMMER 2018,Burlington,.231,32,117,8,27,2,0,1,10,32,9,0,0,28,2,1,0,0,.281,.274,.555,2
-,"Mohan, Ethan",SUMMER 2018,Guelph,.347,24,101,23,35,12,3,2,14,59,9,0,4,30,1,0,2,1,.417,.584,1.002,3
-,"Morris, Nathaniel",SUMMER 2018,Guelph,.000,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,.000,.000,.000,0
*,"Murray, Ricky",SUMMER 2018,Brantford,.364,20,77,14,28,5,0,5,10,48,10,0,1,17,1,0,1,3,.438,.623,1.062,3
-,"Nagorski, Chris",SUMMER 2018,Barrie,.250,1,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,.250,.250,.500,1
-,"Nivins, Tanner",SUMMER 2018,Kitchener,.292,26,106,29,31,2,0,11,23,66,17,0,1,23,1,0,4,1,.392,.623,1.015,0
-,"OFarrell, Reese",SUMMER 2018,Burlington,.239,23,88,11,21,6,0,1,17,30,8,1,4,15,2,0,6,0,.324,.341,.664,1
*,"Odd, Adam",SUMMER 2018,Toronto,.277,12,47,7,13,1,0,1,3,17,3,0,0,12,0,0,0,0,.320,.362,.682,7
*,"Ohorodnyk, Daniel",SUMMER 2018,Burlington,.189,18,53,5,10,2,0,0,4,12,3,0,1,10,0,0,2,2,.246,.226,.472,1
-,"Okawa, Grant",SUMMER 2018,Burlington,.213,13,47,3,10,4,0,1,5,17,6,0,0,9,0,0,1,1,.302,.362,.664,2
-,"Orchard, Zac",SUMMER 2018,Toronto,.244,22,86,18,21,2,0,3,13,32,10,0,1,30,1,0,3,0,.327,.372,.699,4
-,"Page, RJ",SUMMER 2018,Toronto,.000,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,2
-,"Palumbo, Jonathan",SUMMER 2018,Hamilton,.143,2,7,0,1,0,0,0,1,1,0,0,0,3,0,0,0,0,.143,.143,.286,0
-,"Patzalek, Tyler",SUMMER 2018,Burlington,.176,9,34,3,6,3,0,0,4,9,1,0,0,4,0,0,1,0,.200,.265,.465,1
-,"Pettipiece, Nolan",SUMMER 2018,Burlington,.242,34,120,16,29,6,0,1,12,38,7,0,3,26,1,1,5,0,.298,.317,.614,6
-,"Pilarczyk, Matthew",SUMMER 2018,Guelph,.192,23,78,8,15,0,0,1,8,18,7,0,1,14,0,3,1,1,.267,.231,.498,3
-,"Procopio, Christophe",SUMMER 2018,Guelph,.172,8,29,2,5,1,0,2,5,12,0,0,0,11,0,0,0,0,.172,.414,.586,2
*,"Reading, Reece",SUMMER 2018,Kitchener,.212,10,33,5,7,2,0,0,4,9,1,0,0,7,0,0,0,0,.235,.273,.508,2
-,"Reeves, Mike",SUMMER 2018,Toronto,.282,26,103,29,29,4,0,5,21,48,23,0,2,17,0,0,3,0,.422,.466,.888,7
*,"Reichstein, Byron",SUMMER 2018,London,.308,35,130,33,40,4,3,8,37,74,27,3,6,48,3,0,7,0,.440,.569,1.009,1
*,"Reid, Ben",SUMMER 2018,Guelph,.000,2,7,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,.000,.000,.000,0
-,"Reilly, Drew",SUMMER 2018,Kitchener,.000,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,.000,.000,.000,1
-,"Reilly, Sean",SUMMER 2018,Guelph,.342,31,114,28,39,6,0,12,36,81,14,1,12,15,2,0,1,0,.458,.711,1.168,0
-,"Renaud, Laine",SUMMER 2018,Hamilton,.220,32,132,15,29,3,0,3,17,41,8,0,2,40,1,0,4,2,.273,.311,.583,5
-,"Richardson, Dustin",SUMMER 2018,Toronto,.000,1,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,.333,.000,.333,0
*,"Rijo, Ryan",SUMMER 2018,Barrie,.340,15,53,9,18,3,0,2,12,27,6,0,2,10,0,0,1,0,.426,.509,.936,1
*,"Rizquez, Andris",SUMMER 2018,Brantford,.211,32,123,20,26,7,1,4,23,47,10,0,5,35,0,0,6,3,.297,.382,.679,1
-,"Rizquez, Anthony",SUMMER 2018,Brantford,.211,32,109,12,23,3,0,0,3,26,8,0,0,32,0,2,7,3,.265,.239,.503,10
-,"Rodriguez, Starlin",SUMMER 2018,Barrie,.329,16,79,20,26,7,0,2,14,39,3,0,1,8,0,0,2,1,.361,.494,.855,2
-,"Romanin, Mattingly",SUMMER 2018,Burlington,.195,32,128,19,25,6,0,2,11,37,16,1,5,26,2,0,2,1,.305,.289,.594,12
-,"Rossit, Adam",SUMMER 2018,Guelph,.176,27,108,12,19,1,0,0,3,20,6,0,0,26,0,0,1,0,.219,.185,.404,13
-,"Saunders, Darren",SUMMER 2018,Guelph,.125,10,32,1,4,1,0,0,2,5,2,0,0,7,0,0,0,0,.176,.156,.333,2
-,"Schnurr, Mike",SUMMER 2018,Kitchener,.000,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,.000,.000,.000,1
-,"Seifried, Scott",SUMMER 2018,Guelph,.000,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.250,.000,.250,1
*,"Simonetti, Conner",SUMMER 2018,Burlington,.000,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,.000,.000,.000,0
-,"Smith, Curtis",SUMMER 2018,Burlington,.000,2,6,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,.143,.000,.143,0
*,"Smith, Tim",SUMMER 2018,Barrie,.375,15,64,15,24,6,0,1,15,33,5,0,5,11,0,0,2,0,.459,.516,.975,0
*,"Solazzo, Johnathan",SUMMER 2018,Toronto,.259,26,108,17,28,4,0,3,22,41,14,0,3,26,1,0,0,0,.357,.380,.737,11
-,"Soriano, Wilson",SUMMER 2018,Brantford,.226,27,115,14,26,5,2,0,10,35,3,0,0,10,1,0,14,3,.244,.304,.548,9
*,"Spataro, Ryan",SUMMER 2018,Barrie,.342,26,111,34,38,8,1,4,19,60,17,0,2,9,0,1,10,1,.438,.541,.979,0
-,"Ssemanda, Michael",SUMMER 2018,Hamilton,.244,28,78,9,19,1,0,0,1,20,11,0,3,27,0,1,0,0,.359,.256,.615,1
-,"Steeves, Eric",SUMMER 2018,Kitchener,.000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
*,"Szpik, Daniel",SUMMER 2018,Toronto,.118,17,51,11,6,2,0,0,4,8,10,0,0,16,2,1,3,0,.254,.157,.411,2
-,"Vanderby, David",SUMMER 2018,Hamilton,.186,30,97,9,18,3,0,0,8,21,13,0,6,26,0,1,1,0,.319,.216,.535,7
-,"Villalona, Angel",SUMMER 2018,Guelph,.364,5,22,2,8,3,0,0,3,11,2,0,0,5,0,0,0,0,.417,.500,.917,0
*,"Walker, Jeremy",SUMMER 2018,Barrie,.750,1,4,1,3,0,0,1,2,6,0,0,0,1,0,0,0,0,.750,1.500,2.250,1
-,"Walker, Parker",SUMMER 2018,Barrie,.157,18,51,8,8,1,0,0,5,9,4,0,3,16,0,0,0,0,.259,.176,.435,1
*,"Waltenbury, Jon",SUMMER 2018,Guelph,.160,7,25,3,4,1,0,0,2,5,6,0,1,7,0,0,0,0,.344,.200,.544,1
-,"Weisdorf, Zev",SUMMER 2018,London,.000,4,5,1,0,0,0,0,0,0,2,0,0,4,0,0,0,0,.286,.000,.286,0
*,"Whalen, Stephen",SUMMER 2018,Kitchener,.200,2,5,0,1,0,0,0,0,1,2,0,0,2,0,0,0,0,.429,.200,.629,0
-,"Whitehouse, Luke",SUMMER 2018,Burlington,.000,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.250,.000,.250,1
-,"Wood, Tyler",SUMMER 2018,Hamilton,.353,6,17,3,6,0,0,0,1,6,2,0,0,2,1,0,0,0,.400,.353,.753,1
-,"Yambatis, Yunior",SUMMER 2018,Guelph,.000,7,16,2,0,0,0,0,0,0,2,0,1,7,0,0,1,0,.158,.000,.158,1
-,"Zwolinski, Derek",SUMMER 2018,Burlington,.000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.000,.000,1.000,0
-,"Ambrose, Michael",PLAYOFFS 2017,London,.286,10,35,7,10,0,0,2,7,16,4,0,1,4,0,0,0,1,.375,.457,.832,3
-,"Andrulis, Mike",PLAYOFFS 2017,Kitchener,.226,15,53,16,12,0,0,1,7,15,9,0,0,7,1,0,2,0,.333,.283,.616,1
-,"Arteaga, Carlos",PLAYOFFS 2017,London,.386,10,44,12,17,2,1,1,9,24,3,0,0,5,1,0,1,0,.417,.545,.962,0
-,"Atkinson, Kevin",PLAYOFFS 2017,Barrie,.333,8,39,8,13,4,0,1,11,20,0,0,1,8,1,0,1,0,.341,.513,.854,0
-,"Baker, LeJon",PLAYOFFS 2017,London,.308,10,39,5,12,1,0,1,9,16,3,0,1,12,1,0,1,0,.364,.410,.774,4
-,"Baker, TJ",PLAYOFFS 2017,Hamilton,.273,3,11,5,3,1,0,2,3,10,2,0,1,4,0,0,1,0,.429,.909,1.338,0
-,"Beckett, Ryan",PLAYOFFS 2017,Burlington,.000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,1
#,"Beer, Chris",PLAYOFFS 2017,Hamilton,.208,6,24,5,5,1,0,1,4,9,2,0,0,8,0,0,0,0,.269,.375,.644,2
-,"Borroto, Yorbis",PLAYOFFS 2017,Kitchener,.254,15,63,18,16,3,0,2,10,25,14,1,1,6,1,0,4,0,.392,.397,.789,3
-,"Bostick, Benjamin",PLAYOFFS 2017,Brantford,.356,11,45,9,16,3,0,0,6,19,4,0,0,8,2,0,0,2,.392,.422,.814,1
-,"Bouillere-Howard, Ca",PLAYOFFS 2017,Burlington,.250,1,4,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,.250,.250,.500,0
-,"Bowie, Connor",PLAYOFFS 2017,Hamilton,.409,6,22,6,9,2,2,2,7,21,2,0,1,3,0,0,1,0,.480,.955,1.435,0
-,"Brownlee, Cleveland",PLAYOFFS 2017,London,.317,10,41,8,13,2,0,2,9,21,3,0,1,6,0,0,0,0,.378,.512,.890,1
-,"Buntrock, Tristan",PLAYOFFS 2017,London,.250,6,16,2,4,1,0,0,3,5,1,0,0,3,0,0,1,1,.294,.313,.607,0
-,"Burdett, Nic",PLAYOFFS 2017,Brantford,.282,11,39,11,11,3,0,1,5,17,3,0,3,9,1,0,0,0,.370,.436,.805,0
-,"Carrington, Greg",PLAYOFFS 2017,Toronto,.000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
-,"Castaldo, Jordan",PLAYOFFS 2017,Barrie,.467,8,30,8,14,5,0,0,10,19,10,0,0,5,1,0,1,0,.585,.633,1.219,1
-,"Chessell, Eddie",PLAYOFFS 2017,Burlington,.167,3,6,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,.167,.167,.333,2
-,"Chiaravalle, Jake",PLAYOFFS 2017,Hamilton,.231,3,13,1,3,0,0,1,2,6,1,0,0,8,0,0,0,0,.286,.462,.747,0
-,"Cina, Zarley",PLAYOFFS 2017,Kitchener,.345,8,29,7,10,2,0,0,3,12,3,0,0,0,0,0,1,0,.406,.414,.820,0
-,"Cowan, Jeff",PLAYOFFS 2017,Barrie,.241,8,29,6,7,0,0,0,5,7,6,0,1,3,0,1,2,0,.389,.241,.630,0
-,"Cummins, Ethan",PLAYOFFS 2017,Burlington,.143,2,7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,.143,.143,.286,1
-,"Custodio, Claudio",PLAYOFFS 2017,Barrie,.154,6,26,5,4,1,0,0,2,5,2,0,0,7,0,0,0,1,.214,.192,.407,0
-,"Dailey, Brandon",PLAYOFFS 2017,Brantford,.171,11,35,5,6,0,0,2,4,12,7,0,1,17,0,0,0,0,.326,.343,.668,5
